name	m/z	RT_min
peak204	371.3151479	7.583266667
peak205	372.3103511	2.954808333
peak206	377.2139114	2.377133333
peak207	380.255599	3.272966667
peak208	380.2764796	2.825316667
peak209	382.2707358	3.383525
peak210	384.2950348	3.010433333
peak211	384.2945876	2.540183333
peak212	384.3083898	2.72045
peak213	385.3462372	7.365375
peak214	386.3253317	3.036766667
peak215	387.2342274	2.879975
peak216	387.2500848	4.298708333
peak217	387.2497501	4.659866667
peak218	387.2527105	3.010166667
peak219	391.2837716	7.523216667
peak220	392.2779538	2.840616667
peak221	393.298641	5.294858333
peak222	394.2949392	2.84605
peak223	396.3100182	2.907016667
peak224	398.3105555	3.214883333
peak225	398.3258224	3.028666667
peak226	400.3418931	3.226716667
peak227	401.3407527	7.6351
peak228	401.340216	6.560316667
peak229	411.2130635	5.4315
peak230	413.3041927	5.344133333
peak231	417.3350828	2.75445
peak232	417.3716974	7.344316667
peak233	419.3508882	7.44935
peak234	422.3201505	3.337025
peak235	422.3257879	2.97825
peak236	431.3797975	7.766316667
peak237	432.30997	3.080616667
peak238	432.3098014	2.705416667
peak239	434.3233154	6.886383333
peak240	434.3212611	4.017483333
peak241	440.3691152	3.100033333
peak242	448.3409732	3.099933333
peak243	450.3562141	3.218733333
peak244	452.2760744	3.477575
peak245	452.372198	3.423433333
peak246	454.2921471	3.924466667
peak247	454.3878726	3.750475
peak248	466.2873332	3.114533333
peak249	468.307785	3.339708333
peak250	468.3027493	4.305266667
peak251	468.3284207	4.198175
peak252	470.3135098	3.34085
peak253	472.3474559	2.773375
peak254	474.3557535	3.157783333
peak255	476.2760261	3.359783333
peak256	478.2919358	3.669683333
peak257	480.3078996	4.137875
peak258	482.3234207	4.763791667
peak259	482.323488	4.5782
peak260	482.3232555	3.619725
peak261	492.3051799	3.342875
peak262	494.3229862	3.505316667
peak263	494.3423835	2.8503
peak264	496.3387831	3.959533333
peak265	504.3073972	3.923791667
peak266	508.3390668	3.818558333
peak267	508.3383422	4.944583333
peak268	510.4493885	4.665575
peak269	518.3228613	3.383633333
peak270	518.3451246	3.223883333
peak271	520.3279811	3.9853
peak272	520.3391032	3.70025
peak273	522.3550926	4.171391667
peak274	524.3703929	4.807725
peak275	526.2916818	3.6262
peak276	528.3070828	3.8025
peak277	530.3228213	4.2138
peak278	536.3699973	4.570883333
peak279	536.3893222	4.407766667
peak280	538.347714	3.329516667
peak281	538.3854483	5.302983333
peak282	538.4814489	5.07625
peak283	542.3230375	3.379891667
peak284	544.3389016	3.693175
peak285	546.34517	3.690091667
peak286	546.3546444	3.950941667
peak287	548.3700378	4.380466667
peak288	550.3856419	4.992533333
peak289	552.3924459	5.005033333
peak290	552.400997	5.873025
peak291	552.4005514	5.610416667
peak292	568.3387951	3.650808333
peak293	570.3447712	3.647408333
peak294	570.3546205	3.838325
peak295	572.3701481	4.243025
peak296	574.3839334	4.657266667
peak297	578.4158736	6.014741667
peak298	583.2530729	7.592283333
peak299	589.4426566	6.423883333
peak300	590.4027567	4.644225
peak301	591.4583578	6.949216667
peak302	593.474276	7.223483333
peak303	600.3990259	4.937766667
peak304	606.4101754	4.8632
peak305	613.4421311	6.381408333
peak306	615.4580279	6.6071
peak307	615.4579666	7.095225
peak308	615.4578544	5.8335
peak309	617.472857	6.533866667
peak310	617.4740514	7.238666667
peak311	617.4737116	7.012325
peak312	617.473525	7.667816667
peak313	619.4835833	7.2319
peak314	619.4894006	7.726533333
peak315	619.4883891	5.911283333
peak316	619.4883664	5.656616667
peak317	629.4735307	6.52515
peak318	631.4895083	8.013316667
peak319	639.4556399	7.241433333
peak320	639.4540723	6.519808333
peak321	645.4939427	5.90595
peak322	649.434276	4.124333333
peak323	649.4477653	4.842216667
peak324	653.4732032	7.349208333
peak325	653.4743888	5.709766667
peak326	655.4893376	6.84475
peak327	657.5047511	7.883133333
peak328	673.5264908	4.383375
peak329	673.5264413	4.6511
peak330	674.4858332	5.5803
peak331	675.5417632	6.16065
peak332	685.4340443	6.389616667
peak333	690.4982304	3.516683333
peak334	701.5578318	6.53145
peak335	701.5576578	8.045533333
peak336	702.5346654	5.216083333
peak337	703.5722087	8.045491667
peak338	703.571632	6.52945
peak339	704.5138456	3.8141
peak340	708.4714578	2.599608333
peak341	716.4457987	5.439633333
peak342	716.4496085	4.988658333
peak343	718.529855	4.173916667
peak344	723.5394052	6.5286
peak345	725.5544208	8.037858333
peak346	726.509818	4.615908333
peak347	728.5185603	6.527666667
peak348	730.5365202	5.9237
peak349	732.5453577	4.611116667
peak350	732.5516817	6.375416667
peak351	732.5502995	5.919658333
peak352	740.5248969	5.301866667
peak353	742.5723594	8.029291667
peak354	744.5514763	8.033391667
peak355	746.5608008	5.079075
peak356	750.5194863	2.8743
peak357	752.518291	5.923833333
peak358	752.5183706	6.384925
peak359	753.4957337	3.742966667
peak360	754.5336205	6.49145
peak361	754.5346311	8.0289
peak362	754.5333705	5.9219
peak363	756.5520549	6.38425
peak364	756.5515978	8.033141667
peak365	756.5523132	5.03175
peak366	758.5681179	8.0325
peak367	758.5678655	5.910458333
peak368	758.5676336	3.1401
peak369	758.5680793	4.5268
peak370	758.5680619	6.371183333
peak371	758.5681606	7.080366667
peak372	758.5681652	5.57145
peak373	758.5680768	7.637141667
peak374	758.5682413	4.104983333
peak375	758.5676714	5.120333333
peak376	760.5784429	8.0296
peak377	760.5801198	5.920341667
peak378	760.5797298	6.383166667
peak379	760.5786926	4.196541667
peak380	760.5795611	4.65205
peak381	760.579549	4.898958333
peak382	760.5801835	5.595983333
peak383	760.5783721	3.745666667
peak384	762.5040368	8.036941667
peak385	762.5379844	5.206758333
peak386	764.5342752	3.00155
peak387	764.5545343	6.519583333
peak388	766.5341593	8.035916667
peak389	766.5713176	8.0281
peak390	766.5715614	6.393566667
peak391	768.5514783	6.518716667
peak392	768.5870411	8.029208333
peak393	768.5874953	5.919866667
peak394	769.5461187	5.614016667
peak395	776.5193904	8.026016667
peak396	777.6920438	2.623158333
peak397	780.550406	8.0251
peak398	780.5504098	6.516483333
peak399	780.5502807	7.2404
peak400	780.5509529	5.920866667
peak401	780.5503009	4.730183333
peak402	780.5501411	7.561366667
peak403	780.550347	6.933833333
peak404	780.5508294	5.244566667
peak405	782.5645635	8.02815
peak406	782.5653518	7.237033333
peak407	782.5663056	3.086283333
peak408	782.5657931	7.558733333
peak409	782.5663788	4.936633333
peak410	782.5666544	6.884933333
peak411	782.5676131	5.914183333
peak412	782.5670687	6.395758333
peak413	782.5669276	4.657233333
peak414	782.5675685	5.678733333
peak415	782.5665669	4.07735
peak416	782.5675132	6.129766667
peak417	782.5674066	5.35775
peak418	782.566201	3.847166667
peak419	782.5664181	3.612766667
peak420	782.5655273	2.80025
peak421	784.5808137	5.91645
peak422	784.5813798	6.38505
peak423	784.5823846	8.029233333
peak424	784.582158	4.648633333
peak425	784.5824435	4.1724
peak426	784.5821227	3.076816667
peak427	784.581957	4.966758333
peak428	784.5821657	3.842383333
peak429	784.5808324	5.456233333
peak430	786.5974596	6.38415
peak431	786.5973444	8.032716667
peak432	786.5976657	5.917483333
peak433	790.5855204	4.94515
peak434	792.5661525	3.721466667
peak435	792.5859822	5.915633333
peak436	792.5852584	8.028058333
peak437	792.5859347	6.389591667
peak438	794.544625	2.867916667
peak439	794.5639615	8.028733333
peak440	794.563722	6.501616667
peak441	794.6025171	6.394483333
peak442	794.6026144	5.914683333
peak443	799.5006201	2.86775
peak444	800.5211015	6.385983333
peak445	802.5343087	6.383516667
peak446	802.5347656	8.0269
peak447	802.5347395	6.023858333
peak448	804.5499165	6.393191667
peak449	804.5501765	8.026016667
peak450	804.5500996	7.241966667
peak451	804.549938	5.914366667
peak452	804.5501882	4.711075
peak453	804.550098	5.499133333
peak454	804.5499136	6.931866667
peak455	804.550172	5.012866667
peak456	805.5533339	8.02725
peak457	806.5651425	6.383825
peak458	806.5655893	5.916083333
peak459	806.5661679	8.027783333
peak460	806.5661569	7.243916667
peak461	806.5663661	4.6389
peak462	806.5745581	4.042183333
peak463	808.580494	8.02725
peak464	808.5810078	5.91645
peak465	808.5805234	7.241933333
peak466	808.5777007	5.167241667
peak467	808.5814994	6.380633333
peak468	812.5413437	6.513283333
peak469	812.6092954	5.918033333
peak470	820.5974661	4.404033333
peak471	826.5344804	8.026066667
peak472	828.5487875	6.376816667
peak473	828.5500854	8.021033333
peak474	828.5499516	7.246441667
peak475	828.5491934	5.920341667
peak476	830.555791	5.1682
peak477	830.564278	6.51255
peak478	830.5608167	7.242433333
peak479	830.5635207	5.918016667
peak480	830.5631094	6.136283333
peak481	832.5793906	6.5127
peak482	832.5809098	8.026241667
peak483	832.5806035	7.242675
peak484	832.5788236	5.910608333
peak485	834.6090647	4.8544
peak486	836.5926709	3.662183333
peak487	836.6034322	6.0957
peak488	852.5347512	6.17125
peak489	852.5508601	8.0269
peak490	854.5520162	5.927283333
peak491	854.5644524	8.02375
peak492	854.5630262	6.522275
peak493	856.5677687	3.984916667
peak494	856.5797595	8.025833333
peak495	856.5780778	6.3868
peak496	856.5772153	5.919416667
peak497	856.5794534	7.251066667
peak498	858.5900432	6.5062
peak499	858.5857326	6.1002
peak500	878.5495673	6.38255
peak501	882.595581	2.858766667
peak502	883.5930938	4.790225
peak503	955.7549446	6.931958333
peak504	981.6964099	7.983041667
peak505	991.6715037	3.967925
peak506	1039.67044	3.700666667
