weights	features	abs_weight
0.508407747050193	TMEM159	0.508407747050193
0.510767515718681	ZNF331	0.510767515718681
0.513057674408967	PYHIN1	0.513057674408967
0.516395979670433	PDE8A	0.516395979670433
0.5198609706157	NR4A2	0.5198609706157
0.528396554456362	SLC2A3	0.528396554456362
0.528959765368649	MNDA	0.528959765368649
0.547835004974699	CD86	0.547835004974699
0.54893514319703	LY9	0.54893514319703
0.552840272566711	FCRL2	0.552840272566711
0.558293768304994	NXPH4	0.558293768304994
0.560493533146692	ADD3	0.560493533146692
0.56996400745252	TCF7	0.56996400745252
0.570600121787085	MIR29B2CHG	0.570600121787085
0.571127392591196	SLAMF1	0.571127392591196
0.575905316616365	ADAM29	0.575905316616365
0.578579593206578	PPFIBP2	0.578579593206578
0.594160461455641	EGR3	0.594160461455641
0.599250974891422	TPD52	0.599250974891422
0.604190693353753	USP6NL	0.604190693353753
0.604599464121476	SNED1	0.604599464121476
0.615560557611418	FUT8	0.615560557611418
0.645838244188862	FGL2	0.645838244188862
0.64672466027325	MAP3K8	0.64672466027325
0.680651227086103	BANK1	0.680651227086103
0.744099075495075	AC093010.2	0.744099075495075
