weights	features	abs_weight
-0.501777935487441	MATK	0.501777935487441
-0.508703504420067	GNLY	0.508703504420067
-0.520212317257667	CTSW	0.520212317257667
-0.527830678650939	PRSS23	0.527830678650939
-0.53196776540779	KLRF1	0.53196776540779
-0.541565453706522	CXCL8	0.541565453706522
-0.545652846962714	CCL4	0.545652846962714
-0.568645681975057	HOPX	0.568645681975057
-0.576178005185474	GZMH	0.576178005185474
-0.57624452492789	GZMA	0.57624452492789
-0.594328883477902	FGFBP2	0.594328883477902
-0.633233846620954	KLRB1	0.633233846620954
