ID	Factor1	Factor2	Factor3
HC_1	-0.672232031822205	-1.22306787967682	0.194865360856056
HC_10	2.59741950035095	0.495956867933273	2.47322845458984
HC_11	-1.17346513271332	1.13280773162842	-0.411642372608185
HC_12	-0.352169334888458	0.100398004055023	0.292463183403015
HC_13	-1.79392218589783	-0.141467824578285	-0.813591301441193
HC_2	-1.33353579044342	-0.696303963661194	-0.0902970805764198
HC_3	-1.67156422138214	-0.580982565879822	0.23424269258976
HC_4	-0.824760854244232	-0.741148114204407	-0.113426603376865
HC_5	-2.45548915863037	0.512828886508942	-1.27342081069946
HC_6	-0.801720857620239	0.815079987049103	1.48851013183594
HC_7	-2.13725161552429	-0.269285887479782	0.197775602340698
HC_8	-1.99612355232239	1.78384733200073	0.454543948173523
HC_9	-0.431374281644821	0.926190912723541	0.976556539535522
PTB_1	0.846772015094757	-2.15938639640808	-0.199408084154129
PTB_10	3.11854147911072	0.358705580234528	0.418477743864059
PTB_11	2.56937599182129	1.97320377826691	-1.68099784851074
PTB_12	-0.593378663063049	-0.202274635434151	-0.201639860868454
PTB_13	0.143567249178886	0.828114628791809	-0.0678226500749588
PTB_2	2.23560786247253	1.30547189712524	-0.826292812824249
PTB_3	2.10733294487	-0.576692819595337	-0.5410395860672
PTB_4	0.540040671825409	-1.35941731929779	-0.604658126831055
PTB_5	0.15442568063736	-1.96203684806824	-0.449504882097244
PTB_6	2.56582689285278	-1.23388969898224	-0.790380835533142
PTB_7	0.252807110548019	-1.022132396698	0.917540013790131
PTB_8	-1.11988365650177	0.898351192474365	0.382518649101257
PTB_9	0.22514908015728	1.03712475299835	0.0333967432379723
