weights	features	abs_weight
-0.501481307280858	ENSG00000007264	0.501481307280858
-0.508299505573295	ENSG00000115523	0.508299505573295
-0.51954802510671	ENSG00000172543	0.51954802510671
-0.52732020845388	ENSG00000150687	0.52732020845388
-0.531607947563852	ENSG00000150045	0.531607947563852
-0.540596637467968	ENSG00000169429	0.540596637467968
-0.545111140454534	ENSG00000275302	0.545111140454534
-0.568078184926483	ENSG00000171476	0.568078184926483
-0.575587996228598	ENSG00000100450	0.575587996228598
-0.57576790528541	ENSG00000145649	0.57576790528541
-0.593758063680856	ENSG00000137441	0.593758063680856
-0.632874925803861	ENSG00000111796	0.632874925803861
